year,strategy,days,start_open,end_valuation_open,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,worst_day,longest_underwater_days,mean_position,exposed_days_fraction,trading_days,one_way_turnover,sum_cost_fractions
2021,sma200,365,2021-01-01,2022-01-01,0.02867167112920055,0.02867167112920055,0.6850454449501028,0.3821042205923724,-0.5313009280622448,0.05396503114303144,-0.14419093866993005,262,0.7123287671232876,0.7123287671232876,20,19.98502246630055,0.02997753369945082
2021,vol_hold,365,2021-01-01,2022-01-01,0.3275926677986192,0.3275926677986192,0.4228564600118771,0.8811462354149553,-0.3022394752388434,1.0838844513601027,-0.07519225391047146,175,0.5368201458523856,1.0,43,3.42643717159958,0.00513965575739937
2022,trend_model,365,2022-01-01,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2022,buy_hold,365,2022-01-01,2023-01-01,-0.6426202582422139,-0.6426202582422139,0.6373456617031188,-1.290462954096244,-0.6693124398346608,-0.9601199977710848,-0.15387892090659738,364,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
2022,sma200,365,2022-01-01,2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2022,vol_hold,365,2022-01-01,2023-01-01,-0.5307385476665015,-0.5307385476665015,0.4394953808324084,-1.4968101645754295,-0.5538987250043504,-0.9581869820377957,-0.14142066649483598,364,0.6638509218155424,1.0,47,5.351352853572366,0.008027029280358549
2023,trend_model,365,2023-01-01,2024-01-01,0.37852885021600424,0.37852885021600424,0.3324778753347758,1.129635113293923,-0.25339316325776184,1.4938400284736542,-0.07326459017772613,229,0.6197344818427408,0.7095890410958904,42,11.406138824951714,0.01710920823742757
2023,buy_hold,365,2023-01-01,2024-01-01,1.552341715884198,1.552341715884198,0.44059273996442083,2.345972134876479,-0.2000271505613076,7.7606550487175525,-0.07334015302895769,101,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
2023,sma200,365,2023-01-01,2024-01-01,0.7462755860359509,0.7462755860359509,0.4149413217906372,1.5485182477779484,-0.21972549831690558,3.396399561054188,-0.07334015302895769,118,0.8,0.8,5,4.995506739890164,0.007493260109835247
2023,vol_hold,365,2023-01-01,2024-01-01,1.26432578651147,1.26432578651147,0.39485365452146065,2.266637339126672,-0.19983889036855507,6.3267254145563125,-0.07326459017772613,101,0.9066655725950095,1.0,39,3.989611131159927,0.005984416696739891
2024,trend_model,366,2024-01-01,2025-01-01,0.4291055853158898,0.4277121109948052,0.347305088689755,1.1967810534270393,-0.31732094960974266,1.3478848828633192,-0.06785130427545205,276,0.49622443884952844,0.6284153005464481,47,21.002728949362258,0.031504093424043395
2024,buy_hold,366,2024-01-01,2025-01-01,1.2097430309981823,1.204961183075981,0.5306512930074817,1.7537530559165146,-0.26151364947641,4.6076416488718515,-0.08390164176896908,237,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
2024,sma200,366,2024-01-01,2025-01-01,0.5534704420169043,0.5516019207349556,0.47888263033761297,1.1546456505626503,-0.35859918000542834,1.538213000728573,-0.08390164176896908,276,0.8005464480874317,0.8005464480874317,11,10.99101347978033,0.016486520219670495
2024,vol_hold,366,2024-01-01,2025-01-01,1.0575144003646995,1.0534624013723275,0.42667211785346737,1.8986105334717702,-0.20855402642803722,5.051268582128434,-0.06785130427545205,144,0.7987481713555549,1.0,42,4.629349060245288,0.006944023590367933
2025,trend_model,365,2025-01-01,2026-01-01,-0.04030484866938089,-0.04030484866938089,0.24694874658541385,-0.043036814798132005,-0.2560984733879933,-0.1573802769543198,-0.07305395314789509,140,0.49006245047106756,0.5232876712328767,26,19.16179345907163,0.02874269018860745
2025,buy_hold,365,2025-01-01,2026-01-01,-0.06475020733838754,-0.06475020733838754,0.4168414970068889,0.04711227455580389,-0.3202250724258444,-0.20220217876094623,-0.08538061794638996,116,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
2025,sma200,365,2025-01-01,2026-01-01,-0.17535572850928038,-0.17535572850928038,0.33981363351620386,-0.39736646707465245,-0.29010434813564867,-0.604457429322247,-0.08538061794638996,344,0.736986301369863,0.736986301369863,18,17.986520219670496,0.02697978032950574
2025,vol_hold,365,2025-01-01,2026-01-01,-0.09870862973286831,-0.09870862973286831,0.36882548162093093,-0.09763699223945646,-0.31712427498332985,-0.3112616646519952,-0.08538061794638996,119,0.8905161119887837,1.0,28,3.101636282343801,0.004652454423515701
2026,trend_model,258,2026-01-01,2026-09-16,0.038889023484868446,0.055457773000123334,0.12593234566386896,0.48992530042791715,-0.060834934860257595,0.9116106251697975,-0.02798281622712584,12,0.09079586712986028,0.10077519379844961,3,1.1391020966938332,0.0017086531450407497
2026,buy_hold,258,2026-01-01,2026-09-16,-0.13824614073507968,-0.18981385494709924,0.46003455613936445,-0.22757499216912147,-0.3953209523332114,-0.48015126399651936,-0.140174294452165,244,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
2026,sma200,258,2026-01-01,2026-09-16,0.034290913488763675,0.048855019264960386,0.13360477088964345,0.4222142259498922,-0.06922436799537213,0.7057488667607121,-0.032545671269177845,12,0.10077519379844961,0.10077519379844961,1,0.9985022466300548,0.0014977533699450823
2026,vol_hold,258,2026-01-01,2026-09-16,-0.10917354368345211,-0.1508764856937852,0.41016980165498357,-0.1934385796783941,-0.3754618780326374,-0.4018423560984535,-0.12814437034652404,244,0.8916682977192009,1.0,17,2.5133189238600573,0.0037699783857900863
